Station name,Location,Island,Zip Code,Charge Fee,Park Fee,Parking Lot,Hours,Ports,Restrictions,Number of Stations,Charge Fees,Manufacturers,Charging Levels,Location Address,,,
Ko'olina ,Parking lot ,Oahu,96707,,Parking rates may apply ,Ko'olina ,24/7,1,Parking rates may apply ,1,Free,ChargePoint,2,"92-159 Waipahe Place
Kapolei, HI 96707
(21.3316700000, -158.1193280000)",,,
Aiea Shopping Center ,"Second level, near  Angel's Nail Smart",Oahu,96701,,,Aiea Shopping Center ,24/7,1,3 hour max time allowed to charge. For on site Aiea Shopping Center guests only. Drivers who leave the shopping center while EV is charging will be towed. ,1,Free,SemaConnect,2,"99-115 Aiea Heights Dr #228
Aiea, HI 96701
(21.3787500000, -157.9297400000)",,,
Home Depot,In Home Depot Parking Lot,Oahu,96707,N,,Home Depot,Mon-Fri 24/7 Sat-Sun 6am-10pm,3,,2,Free,Schneider Electric,2,"4600 Kapolei Pkwy
Kapolei, HI 96707
(21.3292100000, -158.0886300000)",,,
T.J. Maxx,T.J. Maxx second floor parking lot,Oahu,96814,,Free,T.J. Maxx,8am-10pm,2,Charing is limited to 3 hours.  Please respect those who would also like to utilize fee service.,2,Free,Volta,2,"1170 Auahi St
Honolulu, HI 96814
(21.2935300000, -157.8511700000)",,,
Kauai Marriott Resort & Beach Club,"Charging station is located on the Kalapaki Cir. side of the hotel, near the Ha'upu Tower, close to handicap stalls",Kauai,96766,Free,"Free parking during the day, Registered Guests have a $16-$19/night parking fee.",Kauai Marriott Resort & Beach Club,24/7,2,Charger use restricted to hotel guests.  Vehicle must be registered at front desk and they will provide a key to activate the Charger. Parking rates may apply ,1,Free,AeroVironment,2,"3610 Rice Street
Lihue, HI 96766
(21.9613990000, -159.3497130000)",,,
Marriott Waiohai Beach Club,Green Car service,Kauai,96756,Free,Free parking during the day.  $10/Night for Registered Guests.,Marriott Waiohai Beach Club,24/7,2,Green Car rents out electric and hybrid vehicles from the hotel.  Registered Guests with EVs can also charge. Parking rates may apply ,2,Free,AeroVironment,2,"2249 Poipu Road
Koloa, HI 96756
(21.8750600000, -159.4567700000)",,,
Princeville Shopping Center,"Rear parking lot, next to public restrooms",Kauai,96722,Free,Free,Princeville Shopping Center,24/7,2,Parking fees may apply,2,Free,Volta,2,"5-4280 Kuhio Highway
Princeville, HI 96722
(22.2135956000, -159.4743178000)",,,
Sheraton Kauai,Attached to the shack near the luau lawn,Kauai,96756,TBD,Free for Day Guests.  $30/night for Registered Guests.,Sheraton Kauai,24/7,3,  FOB key required to activate charging station. 4 hour limit.  Parking fees may apply.,3,Free,OpConnect,2,"2440 Hoonani Rd.
Koloa, HI 96756
(21.8773060000, -159.4622110000)",,,
Westin Princeville Resort,Valet,Kauai,96722,TBD,Free for Day Guests.  $9/night Registered Guests.,Westin Princeville Resort,24/7,4,EV Drivers need to use Valet to Charge.  4 hour limit on EV charging.  Parking fees may apply.,2,Free,OpConnect,2,"3838 Wylie Rd
Princeville, HI 96722
(22.2215879000, -159.4686392000)",,,
Bio-Beetle ECO Rental Cars,By appointment and for Bio-Beetle customers only.,Maui,96732,Free,Free,Bio-Beetle ECO Rental Cars,By appointment and for Bio-Beetle customers only.,1,"Allowing customers to plug in their own Level 1 Charger to outlet,  private to customers by appointment.  ",1,Free,Bring your own cordset/Level 1 Charger,1,"55 Amala Place
Kahului, HI 96732
(20.8949605000, -156.4605913000)",,,
"County Building, Wailuku","Directly in front of County Building, outdoor lot. Spot is painted green, sign for Eves.",Maui,96793,"There is a $20 deposit for key to activate Charger, pick up at the Maui County Business Resource Center.  Deposit will be returned when key is returned.",Free for EV Drivers,"County Building, Wailuku",24/7,2,Maui County YouTube video on how to use level 3 Charger http://www.youtube.com/watch?v=Aj_2zcCSUQg.  $20 deposit required to activate charging station.  Parking fees may apply.,2,Free,AeroVironment,2,"200 south High Street
Wailuku, HI 96793
(20.8853200000, -156.5040450000)",,,
Enterprise Rent A Car,Across the Hana Hwy from the Mercedes dealership. Access from the Hana Hwy. Since this is a rental car location access to the one charge port is by availability only. This charge spot is next to Maui Mall,Maui,96732,Free,Free,Enterprise Rent A Car,7:00am-5:00pm,1,Restricted to customers,1,Free,AeroVironment,2,"40 Hana Hwy
Kahului, HI 96732
(20.8917119000, -156.4629880000)",,,
Four Seasons Maui (Wailea),"Self-park at spaces 167 and 169 (at end of row on left) in Valet/Self Park garage. Move the cone that’s there to prevent non-EV parking. Hint: Valet atHotel Wailea will drive you to/from Four Seasons garage for tip, other hotel valets may if you ask.",Maui,96753,TBD,"Free for day guests, $20/day for overnight guests",Four Seasons Maui (Wailea),24/7,2,"Valet recommended, self-parking needs FOB key from front desk.   4 hour limit on EV Charging. Parking fees may apply.",1,Free,OpConnect,2,"3900 Wailea Alanui
Wailea, HI 96753
(20.6802398000, -156.4424600000)",,,
Jim Falk  Motors of Maui,Charging Station is in the front of the lot.,Maui,96732,Free,Free,Jim Falk  Motors of Maui,7:30am-8:00pm,3,Restricted to Customers only.,3,Free,AeroVironment,2,"260 Hana Hwy
Kahului, HI 96732
(20.8884180000, -156.4584230000)",,,
Kahana Gateway,Charge spots located in the rear of the shopping center underneath the building down from the Shell Station and Kahana Koin-Op.,Maui,96761,TBD,Free,Kahana Gateway,24/7,2,   FOB key required to activate charging station. 4 hour limit.  Parking fees may apply.,2,Free,OpConnect,2,"4405 Honoapiilani Hwy
Kahana, HI 96761
(20.9721490000, -156.6773340000)",,,
Ace Hardware,In front of Panda Express,Oahu,96707,Free,Free,Ace Hardware,"Mon-Sat 7:00am-7:00pm, Sun 8:00am-6:00pm",1,Parking fees may apply,1,Free,AeroVironment,2,"480 Kamokila
Kapolei, HI 96707
(21.3285117000, -158.0865653000)",,,
Kihei Town Center,"In front of “Happy Nails” between Sansei and Cuatro Restaurants, near Police Station & Rainbow Attic at 24/7 Kihei Foodland",Maui,96753, 4 hours at a time,Free,Kihei Town Center,24/7,2,  FOB key required to activate charging station. 4 hour limit. Parking rates may apply. ,2,Free,OpConnect,2,"1881 S Kihei Rd
Kihei, HI 96753
(20.7322086000, -156.4524619000)",,,
Marriott Maui Ocean Club,Located in the Valet station,Maui,96761,Free,"$14/Day for Self-Park, $16/Day Valet",Marriott Maui Ocean Club,24/7,1,Parking rates may apply,1,Free,ChargePoint,2,"100 Nohea Kai Drive
Lahaina, HI 96761
(20.9158440000, -156.6952920000)",,,
Marriot Wailea Beach,Valet recommended,Maui,96753,"Free, TBD","Free for Restaurant Guests with Validation.  $30/Day Self-Park, additional $30/Day to Valet",Marriot Wailea Beach,24/7,2,Valet recommended.  Self-parking needs FOB key from front desk. Parking rates may apply ,2,Free,AeroVironment,2,"3700 Wailea Alanui Dr.
Wailea, HI 96753
(20.6879450000, -156.4433050000)",,,
Maui Beach Hotel,Ask Front Desk at Check In,Maui,96732,Free,Free,Maui Beach Hotel,24/7,1,Restricted to Hotel Guests. Parking rates may apply ,1,Free,Bring your own cordset/Level 1 Charger,1,"170 Kaahumanu Avenue
Kahului, HI 96732
(20.8901850000, -156.4710590000)",,,
Ritz Carlton Kapaalua,"Outdoor parking lot close to entrance for employees, EV station labeled, where buses and big vehicles parked",Maui,96761,"Free until further notice,  fee amount TBD","Free for Day Guests.  $10/Night Self-Park, $18/Night Valet for Registered Guests",Ritz Carlton Kapaalua,24/7,2,Parking rates may apply ,2,Free,Pep Stations,2,"1 Ritz-Carlton Drive
Kapalua, HI 96761
(20.9998264000, -156.6551531000)",,,
Sheraton Maui,On 2nd floor of parking garage.,Maui,96761,TBD,$1 for 3 hours with Validation from Restaurant if you spend $20 or more.  $30/Day for Registered Guests,Sheraton Maui,24/7,2,4 hour limit.  Need FOB key from front desk to activate charger.  Parking fees may apply.,1,Free,OpConnect,2,"2605 Ka&rsquo;anapali Parkway
Lahaina, HI 96761
(20.9268220000, -156.6951250000)",,,
Wailea Beach  Marriott,"One in valet, one is in paid parking both on first floor adjacent to lobby.",Maui,96753,Free ,"$25 Self Park, $30 Valet, $30/Day Resort fee includes parking for Registered Guests",Wailea Beach  Marriott,24/7,2,Need FOB key to activate Charging Station in self-parking.  Parking fees may apply.,1,Free,AeroVironment,2,"3700 Wailea Alanui
Wailea, HI 96753
(20.6879450000, -156.4433050000)",,,
Westin Kaanapali Resort and Spa,Ground level of parking lot,Maui,96761,TBD,"Valet Free for Day Guests with Validation, $18/Day without Validation. Self-Parking restricted to Registered Guests and included in resort fee.",Westin Kaanapali Resort and Spa,24/7,4,4 hour limit. Parking fees may apply.,2,Free,OpConnect,2,"2365 Ka&rsquo;anapali Parkway
Lahaina, HI 96761
(20.8783333000, -156.6825000000)",,,
Ala Moana Center,2 Charging stations are located in front of Genki Sushi. Take the Keeaumoku entrance up the ramp and turn right. Charging stations will be on the right. 2 Chargers ground level right below. Volta charger on the 2nd level by Keeaumoku entrance to mall.,Oahu,96814,TBD,Free,Ala Moana Center,"Mall hours, 7:00am-9:30pm",9,Volta chargers are free.  4 hour limit on EV charging.  Parking fees may apply.,5,Free,"OpConnect, Volta",2,"1450 Ala Moana Blvd
Honolulu, HI 96814
(21.2912881000, -157.8429647000)",,,
Aloha Stadium,"Enter the main salt lake gate 1, turn right at sections 3D and 4D, make a right turn at 2A and proceed to park in the marked stall",Oahu,96815,TBD,Varies by event.,Aloha Stadium,6:00am-12:00am,2,  FOB key required to activate charging station.   4 hour limit on EV charging.  Parking fees may apply.,1,Free,OpConnect,2,"Salt Lake Blvd
Honolulu, HI 96815
(21.3658433000, -157.9291369000)",,,
Hawaii Prince Hotel,In level E of the parking garage,Oahu,96815,TBD,"$5.00/hour for visitors.  $17/day for registered guests, $23.00/day valet services. Validations offered by restaurants within hotel",Hawaii Prince Hotel,24/7,4,    FOB key required to activate charging station.4 hour limit on EV charging.  Parking fees may apply.,4,Free,OpConnect,2,"100 Holomoana St.
Honolulu, HI 96815
(21.2865150000, -157.8402110000)",,,
"Aulani A Disney Resort and Spa, Ko Olina","Parking Garage 1, closest stalls to the elevator on two floors.  12 Charging stations; Spaces 250-254, 393-397, and 498-499.  Parking Garage 2, see Valet Attendant for access. 22 Charging stations; spaces 001-009, 096-100, 019-022, 196-197, 217-218 ",Oahu,96707,Free,"Free parking (4 hour max) for guests spending more than $35.00 at the restaurant, hourly rate: 1st half hour free, 2nd $10.00, $5.00 thereafter with a max fee of $35.00","Aulani A Disney Resort and Spa, Ko Olina",24/7,34,Free parking (4 hours max) with restaurant purchase of $35 or more.  Other parking fees may apply.,34,Free,ChargePoint,2,"92-1185 Aliinui Drive
Kapolei, HI 96707
(21.3396140000, -158.1232650000)",,,
Best Western Plaza Hotel,Self-parking next to security as soon as you enter,Oahu,96819,Free,"$25/day for registered guests, $12/day for registered guests that are HI residents.  Free parking for the visitors of registered guests.",Best Western Plaza Hotel,24/7,2,Restricted to registered guests and their visitors.  Retrieve a FOB key from the front desk to activate charging station.  Parking fees may apply.,2,Free,AeroVironment,2,"3253 N. Nimitz Highway
Honolulu, HI 96819
(21.3364879000, -157.9131399000)",,,
Bishop Museum,Located in the rear parking area,Oahu,96817,TBD,Free,Bishop Museum,Wed-Mon 9:00am-5:00pm,4,  FOB key required to activate charging station. 4 hour limit on EV charging.  Parking fees may apply.,4,Free,OpConnect,2,"1525 Bernice St.
Honolulu, HI 96817
(21.3331678000, -157.8693335000)",,,
Central Pacific Plaza,On 2nd Floor of parking garage,Oahu,96813,TBD,Hourly maximum rate of $42.00,Central Pacific Plaza,"Mon-Fri 7:00am-7:00pm, Sat 7:00am-3:00pm, Sun closed",2,    FOB key required to activate charging station. 4 hour limit on EV charging.  Parking fees may apply.,2,Free,OpConnect,2,"220 S. King St
Honolulu, HI 96813
(21.3078120000, -157.8605480000)",,,
Davies Pacific Center,6th floor,Oahu,96813,"1st 2 hours free, $5 every additional hour","15-30 minutes $4, each additional 30 minutes is $4",Davies Pacific Center,24/7,1,"1st 2 hours of charging free, $5 every additional hour.  Use your smart phone to charge by credit card at the Charger, instructions on the screen. Parking fees may apply.",1,Free,SemaConnect,2,"841 Bishop Street
Honolulu, HI 96813
(21.3077429000, -157.8625841000)",,,
DFS Waikiki Galleria,The Charger is located at Level 5B,Oahu,96815,Free,$3/30 Minutes,DFS Waikiki Galleria,9:00am-11:00pm,3,Parking fees may apply.,3,Free,AeroVironment,2,"330 Royal Hawaiian Avenue
Honolulu, HI 96815
(21.2803530000, -157.8288070000)",,,
Embassy Suites Waikiki,Valet,Oahu,96815,Free,"$6.00/4 hours with restaurant validation, $3.00/half hour thereafter.  $30/day for overnight guests (in/out parking). ",Embassy Suites Waikiki,24/7,2,Parking fees may apply.,2,Free,AeroVironment,2,"201 Beach Walk Street
Honolulu, HI 96815
(21.2791170000, -157.8317518000)",,,
Enterprise Rent A Car Honolulu Airport,EV Charging Station is on the side of the building next to the pillars.,Oahu,96818,TBD,Free,Enterprise Rent A Car Honolulu Airport,6:00am-10:30pm,4,Restricted to customers.  4 hour limit on EV charging.,2,Free,OpConnect,2,"3255 Aolele St
Honolulu, HI 96818
(21.3333209000, -157.9151068000)",,,
"Enterprise Rent-a-Car, Kaneohe",In front of the Enterprise office at the intersection of Kahuhipa St and Alaloa St.,Oahu,96744,TBD,Free,"Enterprise Rent-a-Car, Kaneohe","Mon-Fri 8:00am-6:00pm, Sat 9:00am-12:00pm",3,Restricted to customers.   4 hour limit on EV Charging.,3,Free,OpConnect,2,"46-003 Alaloa St.
Kaneohe, HI 96744
(21.4180864000, -157.8064650000)",,,
"Enterprise Rent-a-Car, Waikiki",EV Charging station is in the back of the lot.,Oahu,96815,TBD,Free,"Enterprise Rent-a-Car, Waikiki",7:00am-8:00pm,4,Restricted to customers.  4 hour limit on EV Charging. ,4,Free,OpConnect,2,"151 Kaiulani St.
Honolulu, HI 96815
(21.2772166000, -157.8247285000)",,,
Ewa Town Center,Next to Blockbusters and Starbucks building facing Fort Weaver Rd,Oahu,96706,TBD,Free,Ewa Town Center,7:00am-9:00pm,2,    FOB key required to activate charging station.4 hour limit on EV charging.  Parking fees may apply.,2,Free,OpConnect,2,"91-1401 Ft Weaver Rd
Honolulu, HI 96706
(21.3338730000, -158.0244260000)",,,
Kapolei Commons,In the front parking near Down to Earth,Oahu,96707,TBD,Free for customers,Kapolei Commons,7:00am-9:00pm,2,4 hour limit.  Parking fees may apply.,2,Free,OpConnect,2,"4450 Kapolei Parkway
Kapolei, HI 96707
(21.3314449000, -158.0924594000)",,,
Hilton Hawaiian Village,On the 2nd floor of the parking garage across from Kalia Tower,Oahu,96814,TBD,"$24.00 fee for overnight guests, $30.00 valet services. Visitors fee $8.00/hour. Validations offered at any food and beverage facility within the hotel",Hilton Hawaiian Village,24/7,4,  FOB key required to activate charging station.4 hour limit on EV charging.  Parking fees may apply.,4,Free,OpConnect,2,"2003 Kalia Rd.
Honolulu, HI 96814
(21.2836659000, -157.8377792000)",,,
